id,doi,abstract,crawled_authors,source,authors
0,https://www.semanticscholar.org/paper/f7391104e89d3ae6456960c316a2758d5850e6b0,"Since the first conference in Marseille in 1982, the International Conference on Logic Programming (ICLP) has been the premier international event for presenting research in logic programming. These proceedings include the Technical Communications of the 41st ICLP, held on 12-19 September 2025 at the University of Calabria in Rende, Italy. The papers and extended abstracts in this volume address the following areas and topics: theoretical foundations, language design and programming methodologies, program analysis and optimization, applications and implementation methodologies. This volume features contributions to three submission tracks of ICLP 2025: the Main track, IJCAI fast track, and Recently Published Research track.","Martin Gebser, Daniela Inclezan, Francesco Ricca, Manuel Carro, Miroslaw Truszczynski",SemanticScholarPaperIDCrawler,
1,10.3389/fnbot.2013.00021,"Gradient boosting machines are a family of powerful machine-learning techniques that have shown considerable success in a wide range of practical applications. They are highly customizable to the particular needs of the application, like being learned with respect to different loss functions. This article gives a tutorial introduction into the methodology of gradient boosting methods with a strong focus on machine learning aspects of modeling. A theoretical information is complemented with descriptive examples and illustrations which cover all the stages of the gradient boosting model design. Considerations on handling the model complexity are discussed. Three practical examples of gradient boosting applications are presented and comprehensively analyzed.","Alexey Natekin, Alois Knoll",SemanticScholarPaperIDCrawler,
2,https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,"Our goal in this article is to remind readers what is unsettling about decolonization. Decolonization brings about the repatriation of Indigenous land and life; it is not a metaphor for other things we want to do to improve our societies and schools. The easy adoption of decolonizing discourse by educational advocacy and scholarship, evidenced by the increasing number of calls to “decolonize our schools,” or use “decolonizing methods,” or, “decolonize student thinking”, turns decolonization into a metaphor. As important as their goals may be, social justice, critical methodologies, or approaches that decenter settler perspectives have objectives that may be incommensurable with decolonization. Because settler colonialism is built upon an entangled triad structure of settler-native-slave, the decolonial desires of white, non-white, immigrant, postcolonial, and oppressed people, can similarly be entangled in resettlement, reoccupation, and reinhabitation that actually further settler colonialism. The metaphorization of decolonization makes possible a set of evasions, or “settler moves to innocence”, that problematically attempt to reconcile settler guilt and complicity, and rescue settler futurity. In this article, we analyze multiple settler moves towards innocence in order to forward “an ethic of incommensurability” that recognizes what is distinct and what is sovereign for project(s) of decolonization in relation to human and civil rights based social justice projects. We also point to unsettling themes within transnational/Third World decolonizations, abolition, and critical space-place pedagogies, which challenge the coalescence of social justice endeavors, making room for more meaningful potential alliances.","Eve Tuck, K. Wayne Yang",SemanticScholarPaperIDCrawler,
3,https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,"Argumentative learning amounts to integrating argumentative reasoning into forms of machine learning from examples. Amongst several approaches, ABA Learning is a form of argumentative learning that, given a back-ground knowledge, and positive and negative examples, derives an Assumption-Based Argumentation (ABA) framework. The learnt ABA frameworks can be deployed to make run-time inference about previously unseen examples, even after having seen very few positive and negative examples. This inference is determined by (non-)acceptance of examples in extensions of the ABA frameworks. However, it may be impossible to determine definite (non-)acceptance when the learnt ABA frameworks admit no or several extensions. In this paper, we explore how this behaviour can be managed by “agentifying” ABA learning. This agentification amounts to leveraging the use of rules in non-flat ABA frameworks, representing denial integrity constraints, towards definite conclusions. Specifically, agentified ABA Learning can identify actions in the external environment aimed at generating observations for expanding the original ABA frameworks so that they admit extensions and at choosing amongst the extensions of (expanded) ABA frameworks.","Emanuele De Angelis, Maurizio Proietti, Francesca Toni",SemanticScholarPaperIDCrawler,
4,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,"The EPICA (Empowering Public Interest Communication with Argumentation) project aims to improve Public Interest Communication (PIC) through the use of advanced Computational Argumentation (CA) techniques. This paper provides a summary of the technical results of the project and discusses future research direction.","Pietro Baroni, Stefano Bistarelli, Bettina Fazzinga, Giulio Fellin, Sergio Flesca, Filippo Furfaro , Massimiliano Giacomin",SemanticScholarPaperIDCrawler,
5,10.5281/zenodo.17571635,"The rapid growth of Deep Neural Networks (DNNs) has brought substantial advances in artificial intelligence across domains such as vision, language, and recommendation systems. However, this progress comes at a steep energy cost, with model training and deployment contributing significantly to global computational energy consumption. Understanding what drives this energy demand requires more than empirical correlation — it demands causal explanations. In this work, we investigate the causal factors underlying energy use in DNN training, using structure learning algorithms such as the PC algorithm to derive candidate causal graphs. Recognising the limitations of such methods — particularly in terms of assumptions and finite data — we introduce a novel approach to evaluate each inferred link through formal argumentation. We treat each proposed causal relationship as a dialectical object, generating arguments and counterarguments that articulate its plausibility, underlying mechanisms, and possible confounders. We operationalise this reasoning using large language models in a zero-shot prompting setup, surfacing the evidential and conceptual assumptions behind each causal claim. This hybrid approach, combining causal discovery with structured argumentative evaluation, promotes interpretability and critical scrutiny in data-driven causal modelling. Preliminary results demonstrate its potential for rendering causal claims more transparent and contestable.","Baroni, Pietro, Cerutti, Federico, Giacomin, Massimiliano, Gian Franco, Lamperti, ZANELLA, Marina",SemanticScholarPaperIDCrawler,
6,https://www.semanticscholar.org/paper/e0033a1ff429de2549c3758e1c5bf8591ecd9c53,"One of the main objectives of the Prolog Playground and ALD-style notebooks (Active Logic Documents) is to
facilitate the task of teaching and learning Prolog. The Playground allows teachers and students to develop, run,
debug, verify, and test Prolog programs directly on the browser, without needing a Prolog installation. It also
greatly facilitates the sharing of Prolog code and adding click-to-run capabilities to any kind of teaching materials.
ALD-style notebooks further facilitate the generation of web-based materials with embedded running examples
and exercises. Fundamental to these tools is that they run locally on the student’s browser, with no need for a
server infrastructure. We will report on (and demo) some recent important extensions which include a) being
able to develop the notebooks with embedded running examples and quizzes now directly within the Playground,
b) also being able to develop slides with such examples and quizzes as well as doing presentations within the
Playground, c) a fully reactive mode where feedback and results are given on-the-fly, as the student types, d) new
facilities for interactive collaboration in the classroom, and e) integration with the LPTP theorem prover. We
hope these facilities will be of interest to teachers and students of the Prolog language.","Jose F. Morales, Daniela Ferreiro, Marco Pérez, Manuel V. Hermenegildo",SemanticScholarPaperIDCrawler,
7,10.1109/tmi.2014.2377694,"In this paper we report the set-up and results of the Multimodal Brain Tumor Image Segmentation Benchmark (BRATS) organized in conjunction with the MICCAI 2012 and 2013 conferences. Twenty state-of-the-art tumor segmentation algorithms were applied to a set of 65 multi-contrast MR scans of low- and high-grade glioma patients-manually annotated by up to four raters-and to 65 comparable scans generated using tumor image simulation software. Quantitative evaluations revealed considerable disagreement between the human raters in segmenting various tumor sub-regions (Dice scores in the range 74%-85%), illustrating the difficulty of this task. We found that different algorithms worked best for different sub-regions (reaching performance comparable to human inter-rater variability), but that no single algorithm ranked in the top for all sub-regions simultaneously. Fusing several good algorithms using a hierarchical majority vote yielded segmentations that consistently ranked above all individual algorithms, indicating remaining opportunities for further methodological improvements. The BRATS image data and manual annotations continue to be publicly available through an online evaluation system as an ongoing benchmarking resource.","Bjoern Menze, András Jakab, Stefan Bauer, Jayashree Kalpathy–Cramer, Keyvan Farahani, Justin Kirby, Yuliya Burren, Nicole Porz, Johannes Slotboom, Roland Wiest, Levente Lánczi, Elizabeth R. Gerstner, Marc‐An﻿dré Weber, Tal Arbel, Brian Avants, Nicholas Ayache, Patricia Buendia, D. Louis Collins, Nicolas Cordier, Jason J. Corso, Antonio Criminisi, Tilak Das, Hervé Delingette, Çağatay Demiralp, Christopher R. Durst, Michel Dojat, Senan Doyle, Joana Festa, Florence Forbes, Ezequiel Geremia, Ben Glocker, Polina Golland, Xiaotao Guo, Andaç Hamamcı, Khan M. Iftekharuddin, Raj Jena, Nigel John, Ender Konukoğlu, Danial Lashkari, José Mariz, Raphael Meier, Sérgio Pereira, Doina Precup, Stephen J. Price, Tammy Riklin Raviv, Syed M. S. Reza, Michael J. Ryan, Duygu Sarıkaya, Lawrence H. Schwartz, Hoo-Chang Shin, Jamie Shotton, Carlos A. Silva, Nuno Sousa, Nagesh K. Subbanna, Gábor Székely, Thomas J. Taylor, Owen Thomas, Nicholas J. Tustison, Gözde Ünal, Flor Vasseur, Max Wintermark, Dong Hye Ye, Liang Zhao, Binsheng Zhao, Darko Zikic, Marcel Prastawa, Mauricio Reyes, Koen Van Leemput",SemanticScholarPaperIDCrawler,
8,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,"Henry Jenkins, Director of the Comparative Media Studies Program at the Massachusetts Institute of Technology authored this white paper, exploring new frameworks and models for media literacy.",Henry Jenkins,SemanticScholarPaperIDCrawler,
9,https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,"We study the overall process of automatic formalization of GDPR provisions using large language models, within a human-in-the-loop verification framework. Rather than aiming for full autonomy, we adopt a role-specialized workflow in which LLM-based AI components, operating in a multi-agent setting with iterative feedback, generate legal scenarios, formal rules, and atomic facts. This is coupled with independent verification modules which include human reviewers' assessment of representational, logical, and legal correctness. Using this approach, we construct a high-quality dataset to be used for GDPR auto-formalization, and analyze both successful and problematic cases. Our results show that structured verification and targeted human oversight are essential for reliable legal formalization, especially in the presence of legal nuance and context-sensitive reasoning.","Ha Thanh Nguyen, Wachara Fungwacharakorn, Sabine Wehnert, May Myo Zin, Yuntao Kong, Jieying Xue, Michał Araszkiewicz, Randy Goebel, Ken Satoh",SemanticScholarPaperIDCrawler,
