id,title,venue,year,authors,doi,Label,abstract
0,proceedings 41st international conference on logic programming iclp 2025 rende italy 12-19th september 2025,iclp,2026,Paul Tarau,https://www.semanticscholar.org/paper/f7391104e89d3ae6456960c316a2758d5850e6b0,1,since the first conference in marseille in 1982 the international conference on logic programming iclp has been the premier international event for presenting research in logic programming these proceedings include the technical communications of the 41st iclp held on 12-19 september 2025 at the university of calabria in rende italy the papers and extended abstracts in this volume address the following areas and topics: theoretical foundations language design and programming methodologies program analysis and optimization applications and implementation methodologies this volume features contributions to three submission tracks of iclp 2025: the main track ijcai fast track and recently published research track
1,conditionals and temporal conditionals for gradual argumentation,iclp,2025,"Alexey Natekin, Alois Knoll",https://www.semanticscholar.org/paper/8328d53dae0b05fd09b0d1f2326bda354ee250b7,1,gradient boosting machines are a family of powerful machine-learning techniques that have shown considerable success in a wide range of practical applications they are highly customizable to the particular needs of the application like being learned with respect to different loss functions this article gives a tutorial introduction into the methodology of gradient boosting methods with a strong focus on machine learning aspects of modeling a theoretical information is complemented with descriptive examples and illustrations which cover all the stages of the gradient boosting model design considerations on handling the model complexity are discussed three practical examples of gradient boosting applications are presented and comprehensively analyzed
2,learning and contesting assumption-based argumentation frameworks invited talk,iclp,2025,"Ofer Arieli, Jesse Heyninck",https://www.semanticscholar.org/paper/1c433ff0c724aeaa6449948f3f99ec30a20e9bc5,2,our goal in this article is to remind readers what is unsettling about decolonization decolonization brings about the repatriation of indigenous land and life it is not a metaphor for other things we want to do to improve our societies and schools the easy adoption of decolonizing discourse by educational advocacy and scholarship evidenced by the increasing number of calls to decolonize our schools or use decolonizing methods or decolonize student thinking turns decolonization into a metaphor as important as their goals may be social justice critical methodologies or approaches that decenter settler perspectives have objectives that may be incommensurable with decolonization because settler colonialism is built upon an entangled triad structure of settler-native-slave the decolonial desires of white non-white immigrant postcolonial and oppressed people can similarly be entangled in resettlement reoccupation and reinhabitation that actually further settler colonialism the metaphorization of decolonization makes possible a set of evasions or settler moves to innocence that problematically attempt to reconcile settler guilt and complicity and rescue settler futurity in this article we analyze multiple settler moves towards innocence in order to forward an ethic of incommensurability that recognizes what is distinct and what is sovereign for project s of decolonization in relation to human and civil rights based social justice projects we also point to unsettling themes within transnational/third world decolonizations abolition and critical space-place pedagogies which challenge the coalescence of social justice endeavors making room for more meaningful potential alliances
3,agentified argumentative learning short paper,iclp,2025,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",https://www.semanticscholar.org/paper/666f0fa6242f59f0efad52bf4fca6e57dec3df21,1,argumentative learning amounts to integrating argumentative reasoning into forms of machine learning from examples amongst several approaches aba learning is a form of argumentative learning that given a back-ground knowledge and positive and negative examples derives an assumption-based argumentation aba framework the learnt aba frameworks can be deployed to make run-time inference about previously unseen examples even after having seen very few positive and negative examples this inference is determined by non- acceptance of examples in extensions of the aba frameworks however it may be impossible to determine definite non- acceptance when the learnt aba frameworks admit no or several extensions in this paper we explore how this behaviour can be managed by agentifying aba learning this agentification amounts to leveraging the use of rules in non-flat aba frameworks representing denial integrity constraints towards definite conclusions specifically agentified aba learning can identify actions in the external environment aimed at generating observations for expanding the original aba frameworks so that they admit extensions and at choosing amongst the extensions of expanded aba frameworks
4,empowering public interest communication with argumentation - project report short paper,iclp,2025,Alejandra Casas Niño de Rivera,https://www.semanticscholar.org/paper/08195948156fdb7d400d37e1cd8af51fbcd2918b,1,the epica empowering public interest communication with argumentation project aims to improve public interest communication pic through the use of advanced computational argumentation ca techniques this paper provides a summary of the technical results of the project and discusses future research direction
5,early insights into argumentation-guided causal evaluation with the help of llms,iclp,2025,"Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du",https://www.semanticscholar.org/paper/650254488e053873c1d94fbf2e1c9fb0442a202b,2,the rapid growth of deep neural networks dnns has brought substantial advances in artificial intelligence across domains such as vision language and recommendation systems however this progress comes at a steep energy cost with model training and deployment contributing significantly to global computational energy consumption understanding what drives this energy demand requires more than empirical correlation it demands causal explanations in this work we investigate the causal factors underlying energy use in dnn training using structure learning algorithms such as the pc algorithm to derive candidate causal graphs recognising the limitations of such methods particularly in terms of assumptions and finite data we introduce a novel approach to evaluate each inferred link through formal argumentation we treat each proposed causal relationship as a dialectical object generating arguments and counterarguments that articulate its plausibility underlying mechanisms and possible confounders we operationalise this reasoning using large language models in a zero-shot prompting setup surfacing the evidential and conceptual assumptions behind each causal claim this hybrid approach combining causal discovery with structured argumentative evaluation promotes interpretability and critical scrutiny in data-driven causal modelling preliminary results demonstrate its potential for rendering causal claims more transparent and contestable
6,some enhancements to the prolog playground and ald notebooks for the modern prolog classroom,iclp,2025,"Jose F Morales, Daniela Ferreiro, Marco Pérez, Manuel V Hermenegildo",https://www.semanticscholar.org/paper/e0033a1ff429de2549c3758e1c5bf8591ecd9c53,3,one of the main objectives of the prolog playground and ald-style notebooks active logic documents is to facilitate the task of teaching and learning prolog the playground allows teachers and students to develop run debug verify and test prolog programs directly on the browser without needing a prolog installation it also greatly facilitates the sharing of prolog code and adding click-to-run capabilities to any kind of teaching materials ald-style notebooks further facilitate the generation of web-based materials with embedded running examples and exercises fundamental to these tools is that they run locally on the student s browser with no need for a server infrastructure we will report on and demo some recent important extensions which include a being able to develop the notebooks with embedded running examples and quizzes now directly within the playground b also being able to develop slides with such examples and quizzes as well as doing presentations within the playground c a fully reactive mode where feedback and results are given on-the-fly as the student types d new facilities for interactive collaboration in the classroom and e integration with the lptp theorem prover we hope these facilities will be of interest to teachers and students of the prolog language
7,temporal conditional reasoning with weighted knowledge bases,iclp,2025,Christian Eichhorn,https://www.semanticscholar.org/paper/450304e6da31299973eefb780ea12ee91305da4c,3,in this paper we report the set-up and results of the multimodal brain tumor image segmentation benchmark brats organized in conjunction with the miccai 2012 and 2013 conferences twenty state-of-the-art tumor segmentation algorithms were applied to a set of 65 multi-contrast mr scans of low- and high-grade glioma patients-manually annotated by up to four raters-and to 65 comparable scans generated using tumor image simulation software quantitative evaluations revealed considerable disagreement between the human raters in segmenting various tumor sub-regions dice scores in the range 74 -85 illustrating the difficulty of this task we found that different algorithms worked best for different sub-regions reaching performance comparable to human inter-rater variability but that no single algorithm ranked in the top for all sub-regions simultaneously fusing several good algorithms using a hierarchical majority vote yielded segmentations that consistently ranked above all individual algorithms indicating remaining opportunities for further methodological improvements the brats image data and manual annotations continue to be publicly available through an online evaluation system as an ongoing benchmarking resource
8,teaching asp and its users to share code: abstract invited talk,iclp,2025,Terri Lindenberg,https://www.semanticscholar.org/paper/7d8de01e15f2da146f1633cbca841525f518dfa2,4,henry jenkins director of the comparative media studies program at the massachusetts institute of technology authored this white paper exploring new frameworks and models for media literacy
9,a preliminary evaluation of open-source llms for datalog-based semantic parsing in the asvin project,iclp,2025,"Amad Atiq, George Ubakanma, Muddesar Iqbal",https://www.semanticscholar.org/paper/e1ee65ae926531b70297e837445bb5e10a048588,1,we study the overall process of automatic formalization of gdpr provisions using large language models within a human-in-the-loop verification framework rather than aiming for full autonomy we adopt a role-specialized workflow in which llm-based ai components operating in a multi-agent setting with iterative feedback generate legal scenarios formal rules and atomic facts this is coupled with independent verification modules which include human reviewers assessment of representational logical and legal correctness using this approach we construct a high-quality dataset to be used for gdpr auto-formalization and analyze both successful and problematic cases our results show that structured verification and targeted human oversight are essential for reliable legal formalization especially in the presence of legal nuance and context-sensitive reasoning
